,CO2 factor,Date
249,0.4772657815249497,2022-01-03 06:15:00-08:00
250,0.5289715987933956,2022-01-03 06:30:00-08:00
251,0.5201166067546389,2022-01-03 06:45:00-08:00
252,0.4538570704337673,2022-01-03 07:00:00-08:00
253,0.44062910367517466,2022-01-03 07:15:00-08:00
254,0.41553687258659294,2022-01-03 07:30:00-08:00
255,0.37589707013097035,2022-01-03 07:45:00-08:00
256,0.36616029902616004,2022-01-03 08:00:00-08:00
257,0.3558442662068893,2022-01-03 08:15:00-08:00
258,0.34059613456377563,2022-01-03 08:30:00-08:00
259,0.251977840880438,2022-01-03 08:45:00-08:00
260,0.319502302877258,2022-01-03 09:00:00-08:00
261,0.29493126546202836,2022-01-03 09:15:00-08:00
262,0.2958760780073853,2022-01-03 09:30:00-08:00
263,0.2612623039147854,2022-01-03 09:45:00-08:00
264,0.32139045015898565,2022-01-03 10:00:00-08:00
265,0.32464184667456236,2022-01-03 10:15:00-08:00
266,0.325392455414976,2022-01-03 10:30:00-08:00
267,0.31194711280653137,2022-01-03 10:45:00-08:00
268,0.32254142691001636,2022-01-03 11:00:00-08:00
269,0.32705891164461137,2022-01-03 11:15:00-08:00
270,0.3276103708460067,2022-01-03 11:30:00-08:00
271,0.34219098602198633,2022-01-03 11:45:00-08:00
272,0.34715476907049864,2022-01-03 12:00:00-08:00
273,0.34887121465211735,2022-01-03 12:15:00-08:00
274,0.3711733620783417,2022-01-03 12:30:00-08:00
275,0.36438223866186537,2022-01-03 12:45:00-08:00
276,0.38559055128453634,2022-01-03 13:00:00-08:00
277,0.38514364214290436,2022-01-03 13:15:00-08:00
278,0.38117919293929,2022-01-03 13:30:00-08:00
279,0.3839994830173306,2022-01-03 13:45:00-08:00
280,0.3427224061335254,2022-01-03 14:00:00-08:00
281,0.35334631582497994,2022-01-03 14:15:00-08:00
282,0.35721472714859237,2022-01-03 14:30:00-08:00
283,0.3808047161421157,2022-01-03 14:45:00-08:00
284,0.3363200252969727,2022-01-03 15:00:00-08:00
285,0.377116715739573,2022-01-03 15:15:00-08:00
286,0.43044556135757167,2022-01-03 15:30:00-08:00
287,0.537218186724477,2022-01-03 15:45:00-08:00
288,0.38894409395725865,2022-01-03 16:00:00-08:00
289,0.413618794746859,2022-01-03 16:15:00-08:00
290,0.48173562169782064,2022-01-03 16:30:00-08:00
291,0.5245575409837343,2022-01-03 16:45:00-08:00
292,0.3733855830187447,2022-01-03 17:00:00-08:00
293,0.4045126145886407,2022-01-03 17:15:00-08:00
294,0.42613650680243004,2022-01-03 17:30:00-08:00
295,0.40255449797743337,2022-01-03 17:45:00-08:00
296,0.4494062053282837,2022-01-03 18:00:00-08:00
297,0.44588306929627236,2022-01-03 18:15:00-08:00
298,0.462648989584981,2022-01-03 18:30:00-08:00
299,0.4215010929107137,2022-01-03 18:45:00-08:00
300,0.447051070406828,2022-01-03 19:00:00-08:00
301,0.4641874675563877,2022-01-03 19:15:00-08:00
302,0.47664703275437,2022-01-03 19:30:00-08:00
303,0.46645005222705,2022-01-03 19:45:00-08:00
304,0.4664084568301106,2022-01-03 20:00:00-08:00
305,0.4172490226700907,2022-01-03 20:15:00-08:00
306,0.41831684803548264,2022-01-03 20:30:00-08:00
307,0.422845741455453,2022-01-03 20:45:00-08:00
308,0.4412024344495697,2022-01-03 21:00:00-08:00
309,0.4270219508347696,2022-01-03 21:15:00-08:00
310,0.39996848988404965,2022-01-03 21:30:00-08:00
